approval_action,wp_product_id,wp_sku,wp_product_name,gallery_position,node_product_id,node_product_name,node_product_status,match_status,old_wp_url,canonical_url,target_node_url,filename
set_product_gallery_image,14234,12534,Roshina 2 Wooden event,1,390143,Roshina 2 Wooden event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-1.jpg,Roshina-2-darkveneer-wood-1.jpg
set_product_gallery_image,12851,12724,Roshina 2 Wooden store,1,390121,Roshina 2 Wooden store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-1.jpg,Roshina-2-darkveneer-wood-1.jpg
set_product_gallery_image,12721,12721,Roshina 2 Wooden,1,390119,Roshina 2 Wooden,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-1.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-1.jpg,Roshina-2-darkveneer-wood-1.jpg
set_product_gallery_image,14234,12534,Roshina 2 Wooden event,2,390143,Roshina 2 Wooden event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-2.jpg,Roshina-2-darkveneer-wood-2.jpg
set_product_gallery_image,12851,12724,Roshina 2 Wooden store,2,390121,Roshina 2 Wooden store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-2.jpg,Roshina-2-darkveneer-wood-2.jpg
set_product_gallery_image,12721,12721,Roshina 2 Wooden,2,390119,Roshina 2 Wooden,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-2.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-2.jpg,Roshina-2-darkveneer-wood-2.jpg
set_product_gallery_image,14234,12534,Roshina 2 Wooden event,3,390143,Roshina 2 Wooden event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-4.jpg,Roshina-2-darkveneer-wood-4.jpg
set_product_gallery_image,12851,12724,Roshina 2 Wooden store,3,390121,Roshina 2 Wooden store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-4.jpg,Roshina-2-darkveneer-wood-4.jpg
set_product_gallery_image,12721,12721,Roshina 2 Wooden,3,390119,Roshina 2 Wooden,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-2-darkveneer-wood-4.jpg,/media/wordpress-migration/2023/07/Roshina-2-darkveneer-wood-4.jpg,Roshina-2-darkveneer-wood-4.jpg
set_product_main_image,14218,12532,Roshina 1 Black event,0,390141,Roshina 1 Black event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-black-1.jpg,Roshina-1-black-1.jpg
set_product_main_image,12610,12610,Roshina 1 Black,0,390112,Roshina 1 Black,active,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-black-1.jpg,Roshina-1-black-1.jpg
set_product_main_image,12015,112236,Roshina 1 Black Store,0,390061,Roshina 1 Black Store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-black-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-black-1.jpg,Roshina-1-black-1.jpg
set_product_main_image,14210,112242,Roshina 1 Petrol event,0,390140,Roshina 1 Petrol event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-petrol-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-petrol-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-petrol-1.jpg,Roshina-1-petrol-1.jpg
set_product_main_image,12050,112240,Roshina 1 Petrol Store,0,390065,Roshina 1 Petrol Store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-petrol-1.jpg,https://coveinterior.com/wp-content/uploads/2023/01/Roshina-1-petrol-1.jpg,/media/wordpress-migration/2023/01/Roshina-1-petrol-1.jpg,Roshina-1-petrol-1.jpg
